word,Pos,avg_freq,wordCount,prevalence,wordavg
user,NOUN,0.1370790024440032,28,0.1233480176211453,0.0288957688338493
device,NOUN,0.1868124533742382,23,0.1013215859030837,0.023735810113519
people,NOUN,0.1378643578643578,21,0.092511013215859,0.0216718266253869
light,NOUN,0.1334333429728166,19,0.0837004405286343,0.0196078431372549
day,NOUN,0.1275477340694732,10,0.0440528634361233,0.0103199174406604
task,NOUN,0.1779761904761904,9,0.039647577092511,0.0092879256965944
wearable,NOUN,0.1543209876543209,9,0.039647577092511,0.0092879256965944
work,NOUN,0.1216169632836299,9,0.039647577092511,0.0092879256965944
interface,NOUN,0.107032867494824,8,0.0352422907488986,0.0082559339525283
level,NOUN,0.1278305654245503,8,0.0352422907488986,0.0082559339525283
screen,NOUN,0.2362811791383219,8,0.0352422907488986,0.0082559339525283
sound,NOUN,0.1630564506504355,8,0.0352422907488986,0.0082559339525283
space,NOUN,0.2109307359307359,8,0.0352422907488986,0.0082559339525283
time,NOUN,0.1827380952380952,8,0.0352422907488986,0.0082559339525283
app,NOUN,0.1449074074074074,7,0.0308370044052863,0.0072239422084623
bracelet,NOUN,0.2321548821548821,7,0.0308370044052863,0.0072239422084623
massage,NOUN,0.1697262479871175,7,0.0308370044052863,0.0072239422084623
pillow,NOUN,0.2678571428571428,7,0.0308370044052863,0.0072239422084623
portable,ADJ,0.1847117794486215,7,0.0308370044052863,0.0072239422084623
surface,NOUN,0.1038699690402476,7,0.0308370044052863,0.0072239422084623
wrist,NOUN,0.2318840579710144,7,0.0308370044052863,0.0072239422084623
interactive,ADJ,0.1236832611832611,6,0.026431718061674,0.0061919504643962
other,NOUN,0.1163101604278074,6,0.026431718061674,0.0061919504643962
posture,NOUN,0.2559523809523809,6,0.026431718061674,0.0061919504643962
tangible,ADJ,0.1399327122153209,6,0.026431718061674,0.0061919504643962
track,NOUN,0.1791666666666666,6,0.026431718061674,0.0061919504643962
ambience,NOUN,0.1399267399267399,5,0.0220264317180616,0.0051599587203302
color,NOUN,0.0756494601889338,5,0.0220264317180616,0.0051599587203302
desk,NOUN,0.2355555555555555,5,0.0220264317180616,0.0051599587203302
display,NOUN,0.0827928021635115,5,0.0220264317180616,0.0051599587203302
laptop,NOUN,0.2375,5,0.0220264317180616,0.0051599587203302
name,NOUN,1.0,5,0.0220264317180616,0.0051599587203302
nausea,NOUN,0.2237373737373737,5,0.0220264317180616,0.0051599587203302
noise,NOUN,0.1008675534991324,5,0.0220264317180616,0.0051599587203302
person,NOUN,0.106060606060606,5,0.0220264317180616,0.0051599587203302
schedule,NOUN,0.2194444444444444,5,0.0220264317180616,0.0051599587203302
sensor,NOUN,0.1788961038961039,5,0.0220264317180616,0.0051599587203302
table,NOUN,0.2529761904761904,5,0.0220264317180616,0.0051599587203302
able,ADJ,0.1809764309764309,4,0.0176211453744493,0.0041279669762641
break,NOUN,0.2527777777777777,4,0.0176211453744493,0.0041279669762641
cm,NOUN,0.0513157894736842,4,0.0176211453744493,0.0041279669762641
computer,NOUN,0.1019625603864734,4,0.0176211453744493,0.0041279669762641
environment,NOUN,0.0772435897435897,4,0.0176211453744493,0.0041279669762641
glass,NOUN,0.3352272727272727,4,0.0176211453744493,0.0041279669762641
heart,NOUN,0.1414141414141414,4,0.0176211453744493,0.0041279669762641
machine,NOUN,0.125,4,0.0176211453744493,0.0041279669762641
material,NOUN,0.0515194235588972,4,0.0176211453744493,0.0041279669762641
notification,NOUN,0.1319444444444444,4,0.0176211453744493,0.0041279669762641
phone,NOUN,0.1878306878306878,4,0.0176211453744493,0.0041279669762641
public,ADJ,0.1311688311688311,4,0.0176211453744493,0.0041279669762641
rate,NOUN,0.1414141414141414,4,0.0176211453744493,0.0041279669762641
reminder,NOUN,0.1034722222222222,4,0.0176211453744493,0.0041279669762641
smart,ADJ,0.146031746031746,4,0.0176211453744493,0.0041279669762641
vibrate,NOUN,0.2375,4,0.0176211453744493,0.0041279669762641
water,NOUN,0.1989417989417989,4,0.0176211453744493,0.0041279669762641
wifi,NOUN,0.2833333333333334,4,0.0176211453744493,0.0041279669762641
atmosphere,NOUN,0.1228327228327228,3,0.013215859030837,0.0030959752321981
audio,ADJ,0.1898148148148148,3,0.013215859030837,0.0030959752321981
background,NOUN,0.0728744939271255,3,0.013215859030837,0.0030959752321981
bag,NOUN,0.1559523809523809,3,0.013215859030837,0.0030959752321981
call,NOUN,0.1481481481481481,3,0.013215859030837,0.0030959752321981
collaborative,ADJ,0.1444444444444444,3,0.013215859030837,0.0030959752321981
control,NOUN,0.0495169082125603,3,0.013215859030837,0.0030959752321981
different,ADJ,0.1279411764705882,3,0.013215859030837,0.0030959752321981
digital,ADJ,0.0351875532821824,3,0.013215859030837,0.0030959752321981
hand,NOUN,0.1850241545893719,3,0.013215859030837,0.0030959752321981
headphone,NOUN,0.2253968253968254,3,0.013215859030837,0.0030959752321981
heartbeat,NOUN,0.1691919191919192,3,0.013215859030837,0.0030959752321981
hour,NOUN,0.1269841269841269,3,0.013215859030837,0.0030959752321981
intensity,NOUN,0.0245653151831641,3,0.013215859030837,0.0030959752321981
list,NOUN,0.1166666666666666,3,0.013215859030837,0.0030959752321981
mobile,ADJ,0.112037037037037,3,0.013215859030837,0.0030959752321981
motion,NOUN,0.1784511784511784,3,0.013215859030837,0.0030959752321981
natural,ADJ,0.0641025641025641,3,0.013215859030837,0.0030959752321981
necklace,NOUN,0.1506734006734006,3,0.013215859030837,0.0030959752321981
outside,NOUN,0.1179894179894179,3,0.013215859030837,0.0030959752321981
pen,NOUN,0.142156862745098,3,0.013215859030837,0.0030959752321981
plastic,NOUN,0.0367131062951496,3,0.013215859030837,0.0030959752321981
progress,NOUN,0.125,3,0.013215859030837,0.0030959752321981
pulse,NOUN,0.1525252525252525,3,0.013215859030837,0.0030959752321981
same,ADJ,0.119047619047619,3,0.013215859030837,0.0030959752321981
scent,NOUN,0.2555555555555555,3,0.013215859030837,0.0030959752321981
setting,NOUN,0.0763157894736842,3,0.013215859030837,0.0030959752321981
sickness,NOUN,0.1784511784511784,3,0.013215859030837,0.0030959752321981
sleep,NOUN,0.162037037037037,3,0.013215859030837,0.0030959752321981
smartphone,NOUN,0.0535714285714285,3,0.013215859030837,0.0030959752321981
strain,NOUN,0.1217391304347826,3,0.013215859030837,0.0030959752321981
stress,NOUN,0.2666666666666666,3,0.013215859030837,0.0030959752321981
technology,NOUN,0.1272727272727273,3,0.013215859030837,0.0030959752321981
type,NOUN,0.1140522875816993,3,0.013215859030837,0.0030959752321981
warm,NOUN,0.1923076923076923,3,0.013215859030837,0.0030959752321981
way,NOUN,0.1638888888888889,3,0.013215859030837,0.0030959752321981
wireless,ADJ,0.1691919191919192,3,0.013215859030837,0.0030959752321981
worker,NOUN,0.1149591149591149,3,0.013215859030837,0.0030959752321981
adjustment,NOUN,0.0753205128205128,2,0.0088105726872246,0.002063983488132
alert,NOUN,0.1180555555555555,2,0.0088105726872246,0.002063983488132
amount,NOUN,0.1,2,0.0088105726872246,0.002063983488132
area,NOUN,0.2083333333333333,2,0.0088105726872246,0.002063983488132
bottle,NOUN,0.1714285714285714,2,0.0088105726872246,0.002063983488132
bus,NOUN,0.1714285714285714,2,0.0088105726872246,0.002063983488132
